#课程编号   课程名称  学分    
11706200 马克思主义基本原理 3	
10900500	大学英语 12	 
21919600	计算科学导论	1.5	 
21919400	计算机高级语言程序设计（C++）	3.5	
21213501	概率论与数理统计	3.5	
21216501	离散数学	4.5	
212120281	高等数学	11.5	
21915900	数据结构 4	
21906601	计算机组成原理	4	 
21902001	操作系统原理 	3.5	 
21921002	计算机网络 	3	
21921400	数据库系统概论	3	
21920300	面向对象程序设计（C++）	3	
21903202	汇编语言程序设计	2.5	 
21203800	计算方法	3	
21921502	编译原理 	2.5	
21904802	计算机体系结构 	2.5	
21915601	软件工程 3	 
21907202	人工智能 2.5	 
21921303	计算机图形学  2	
21922400	Linux系统应用与开发 2   
21922500	Java程序设计  2.5	 
21922600	C#程序设计	2.5	 
21922700	并行计算	2	
21907100	模式识别	2.5	
#END
