#课程编号   课程名称  学分   学时   课程类别 
11706200 马克思主义基本原理 3	48 必修
10900500	大学英语 12	192 必修
21919600	计算科学导论	1.5	24 必修
21919400	计算机高级语言程序设计（C++）	3.5	56 必修
21213501	概率论与数理统计	3.5	56 必修
21216501	离散数学	4.5	72 必修
212120281	高等数学	11.5	184 必修
21915900	数据结构 4	64 必修
21906601	计算机组成原理	4	64 必修
21902001	操作系统原理 	3.5	56 必修
21921002	计算机网络 	3	48 必修
21921400	数据库系统概论	3	48 必修
21920300	面向对象程序设计（C++）	3	48 必修
21903202	汇编语言程序设计	2.5	40 必修
21203800	计算方法	3	48 必修
21921502	编译原理 	2.5	40 必修
21904802	计算机体系结构 	2.5	40 必修
21915601	软件工程 3	48 必修
21907202	人工智能 2.5	40 必修
21921303	计算机图形学  2	32 必修
21922400	Linux系统应用与开发 2 32  选修
21922500	Java程序设计  2.5	40 选修
21922600	C#程序设计	2.5	40 选修
21922700	并行计算	2	32 选修
21907100	模式识别	2.5	40 选修
#END
